# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_dmeff                6:d_fld                  7:d_ur                   8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_dmeff               14:t_fld                 15:t_ur                  16:t_tot              
       2.361305119611e-02      -2.780937389247e-01      -2.993771821637e+01      -3.745697958271e+01      -3.745697647503e+01       0.000000000000e+00      -4.376827891319e-01      -3.518152390196e+01       3.104197896251e-01       3.104549096391e-01      -4.564496127037e-02      -1.847736589195e-03      -1.493291414136e-10                      nan      -4.469846281739e-02      -2.024117244499e-03 
       2.374293269725e-02      -2.756635539180e-01      -3.008294747472e+01      -3.772897690705e+01      -3.772897379597e+01       0.000000000000e+00      -4.430346352883e-01      -3.542543150521e+01       3.091587091544e-01       3.091917609798e-01      -4.577946027890e-02      -1.877161353440e-03      -1.493369703292e-10                      nan      -4.507201389784e-02      -2.037654703935e-03 
       2.387294477028e-02      -2.748287269491e-01      -3.022709133680e+01      -3.800097659876e+01      -3.800097348431e+01       0.000000000000e+00      -4.477544139875e-01      -3.566918767882e+01       3.079019742541e-01       3.079327122442e-01      -4.591354860234e-02      -1.906790216956e-03      -1.493454274454e-10                      nan      -4.545571572664e-02      -2.051373915339e-03 
       2.400309021230e-02      -2.755774403836e-01      -3.036997711790e+01      -3.827293391280e+01      -3.827293079498e+01       0.000000000000e+00      -4.517481514444e-01      -3.591272724311e+01       3.066490281496e-01       3.066772435998e-01      -4.604925268260e-02      -1.936665430901e-03      -1.493545165983e-10                      nan      -4.584856998249e-02      -2.065311794674e-03 
       2.413337188923e-02      -2.778589155793e-01      -3.051182926628e+01      -3.854489967776e+01      -3.854489655657e+01       0.000000000000e+00      -4.549399645610e-01      -3.615612548964e+01       3.054005187845e-01       3.054260459499e-01      -4.618872380347e-02      -1.966726960633e-03      -1.493642363827e-10                      nan      -4.624952155620e-02      -2.079491027826e-03 
       2.426379273761e-02      -2.816240521966e-01      -3.065251759473e+01      -3.881683430401e+01      -3.881683117948e+01       0.000000000000e+00      -4.572599253358e-01      -3.639932784954e+01       3.041559798232e-01       3.041786915392e-01      -4.633393680831e-02      -1.997005523642e-03      -1.493745902864e-10                      nan      -4.665729134922e-02      -2.093941148097e-03 
       2.439435576650e-02      -2.868010624925e-01      -3.079193121460e+01      -3.908872009258e+01      -3.908871696471e+01       0.000000000000e+00      -4.586519619599e-01      -3.664230037190e+01       3.029151317389e-01       3.029349411085e-01      -4.648687408059e-02      -2.027532103998e-03      -1.493855832622e-10                      nan      -4.707049722061e-02      -2.108690288954e-03 
       2.452506405949e-02      -2.932982840206e-01      -3.093037989561e+01      -3.936059787066e+01      -3.936059473947e+01       0.000000000000e+00      -4.590782896675e-01      -3.688512359848e+01       3.016786371472e-01       3.016954974978e-01      -4.664942010095e-02      -2.058208543915e-03      -1.493972152018e-10                      nan      -4.748777174479e-02      -2.123744189122e-03 
       2.465592077667e-02      -3.010132226753e-01      -3.106759531383e+01      -3.963243713069e+01      -3.963243399619e+01       0.000000000000e+00      -4.585113876956e-01      -3.712772787449e+01       3.004459156693e-01       3.004598189523e-01      -4.682334979952e-02      -2.089124833263e-03      -1.494094900247e-10                      nan      -4.790751818079e-02      -2.139132256249e-03 
       2.478692915676e-02      -3.098288186494e-01      -3.120383220304e+01      -3.990428199268e+01      -3.990427885487e+01       0.000000000000e+00      -4.569420825092e-01      -3.737018753515e+01       2.992175574448e-01       2.992285329379e-01      -4.701031819141e-02      -2.120206722899e-03      -1.494224084506e-10                      nan      -4.832825029177e-02      -2.154856956927e-03 
       2.491809251927e-02      -3.196113531060e-01      -3.133873932720e+01      -4.017606393217e+01      -4.017606079107e+01       0.000000000000e+00      -4.543757890524e-01      -3.761238870155e+01       2.979926363603e-01       2.980007493406e-01      -4.721166430780e-02      -2.151547878061e-03      -1.494359669623e-10                      nan      -4.874823515811e-02      -2.170936285752e-03 
       2.504941426679e-02      -3.302332383286e-01      -3.147258266530e+01      -4.044780592957e+01      -4.044780278519e+01       0.000000000000e+00      -4.508290130374e-01      -3.785439047348e+01       2.967716144551e-01       2.967769615803e-01      -4.742874437063e-02      -2.183060009548e-03      -1.494501722533e-10                      nan      -4.916593661315e-02      -2.187362948127e-03 
       2.518089788722e-02      -3.415436301659e-01      -3.160542185674e+01      -4.071955970516e+01      -4.071955655750e+01       0.000000000000e+00      -4.463359705939e-01      -3.809624215656e+01       2.955548569128e-01       2.955575669650e-01      -4.766274199187e-02      -2.214753047112e-03      -1.494650255910e-10                      nan      -4.957982806205e-02      -2.204141415586e-03 
       2.531254695627e-02      -3.533890275504e-01      -3.173709908400e+01      -4.099127701165e+01      -4.099127386073e+01       0.000000000000e+00      -4.409463861689e-01      -3.833787737605e+01       2.943418224520e-01       2.943420516800e-01      -4.791442477143e-02      -2.246655657316e-03      -1.494805245083e-10                      nan      -4.998829404952e-02      -2.221268317868e-03 
