#          k/h    axion          baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_axion        v_b            v_b-v_a     
   0.100898E-04   0.242518E+06   0.242518E+06   0.323356E+06   0.323356E+06   0.000000E+00   0.242518E+06   0.242518E+06   0.252171E+06   0.604576E+00   0.241405E+06   0.241405E+06   0.376651E+00
   0.111402E-04   0.242518E+06   0.242518E+06   0.323356E+06   0.323356E+06   0.000000E+00   0.242518E+06   0.242518E+06   0.252171E+06   0.604576E+00   0.241405E+06   0.241405E+06   0.415862E+00
   0.122999E-04   0.242518E+06   0.242518E+06   0.323355E+06   0.323355E+06   0.000000E+00   0.242518E+06   0.242518E+06   0.252171E+06   0.604576E+00   0.241405E+06   0.241405E+06   0.459156E+00
   0.135804E-04   0.242518E+06   0.242518E+06   0.323355E+06   0.323355E+06   0.000000E+00   0.242518E+06   0.242518E+06   0.252171E+06   0.604576E+00   0.241405E+06   0.241405E+06   0.506957E+00
   0.149942E-04   0.242518E+06   0.242518E+06   0.323354E+06   0.323354E+06   0.000000E+00   0.242518E+06   0.242518E+06   0.252171E+06   0.604576E+00   0.241405E+06   0.241405E+06   0.559734E+00
   0.165552E-04   0.242518E+06   0.242518E+06   0.323354E+06   0.323353E+06   0.000000E+00   0.242518E+06   0.242518E+06   0.252171E+06   0.604576E+00   0.241405E+06   0.241405E+06   0.618005E+00
   0.182787E-04   0.242518E+06   0.242518E+06   0.323353E+06   0.323352E+06   0.000000E+00   0.242518E+06   0.242518E+06   0.252171E+06   0.604575E+00   0.241405E+06   0.241404E+06   0.682343E+00
   0.201816E-04   0.242518E+06   0.242518E+06   0.323352E+06   0.323351E+06   0.000000E+00   0.242518E+06   0.242518E+06   0.252171E+06   0.604575E+00   0.241404E+06   0.241404E+06   0.753379E+00
   0.222826E-04   0.242518E+06   0.242518E+06   0.323350E+06   0.323350E+06   0.000000E+00   0.242518E+06   0.242518E+06   0.252171E+06   0.604575E+00   0.241404E+06   0.241404E+06   0.831810E+00
   0.246024E-04   0.242518E+06   0.242518E+06   0.323349E+06   0.323348E+06   0.000000E+00   0.242518E+06   0.242518E+06   0.252171E+06   0.604575E+00   0.241404E+06   0.241404E+06   0.918406E+00
   0.271636E-04   0.242518E+06   0.242518E+06   0.323347E+06   0.323346E+06   0.000000E+00   0.242518E+06   0.242518E+06   0.252170E+06   0.604574E+00   0.241404E+06   0.241404E+06   0.101402E+01
   0.299915E-04   0.242518E+06   0.242518E+06   0.323345E+06   0.323343E+06   0.000000E+00   0.242518E+06   0.242518E+06   0.252170E+06   0.604574E+00   0.241404E+06   0.241404E+06   0.111958E+01
   0.331138E-04   0.242517E+06   0.242517E+06   0.323342E+06   0.323340E+06   0.000000E+00   0.242517E+06   0.242517E+06   0.252170E+06   0.604573E+00   0.241404E+06   0.241404E+06   0.123614E+01
   0.365612E-04   0.242517E+06   0.242517E+06   0.323338E+06   0.323336E+06   0.000000E+00   0.242517E+06   0.242517E+06   0.252170E+06   0.604573E+00   0.241404E+06   0.241404E+06   0.136482E+01
   0.403674E-04   0.242517E+06   0.242517E+06   0.323334E+06   0.323331E+06   0.000000E+00   0.242517E+06   0.242517E+06   0.252169E+06   0.604572E+00   0.241404E+06   0.241404E+06   0.150691E+01
   0.445699E-04   0.242517E+06   0.242517E+06   0.323329E+06   0.323326E+06   0.000000E+00   0.242517E+06   0.242517E+06   0.252169E+06   0.604571E+00   0.241403E+06   0.241403E+06   0.166378E+01
   0.492099E-04   0.242517E+06   0.242516E+06   0.323323E+06   0.323319E+06   0.000000E+00   0.242517E+06   0.242517E+06   0.252169E+06   0.604570E+00   0.241403E+06   0.241403E+06   0.183699E+01
