#          k/h    axion          baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_axion        v_b            v_b-v_a     
   0.178317E-03   0.242497E+06   0.242495E+06   0.322898E+06   0.322848E+06   0.000000E+00   0.242497E+06   0.242497E+06   0.252136E+06   0.604489E+00   0.241384E+06   0.241383E+06   0.665581E+01
   0.196881E-03   0.242493E+06   0.242490E+06   0.322798E+06   0.322736E+06   0.000000E+00   0.242492E+06   0.242492E+06   0.252128E+06   0.604470E+00   0.241380E+06   0.241379E+06   0.734853E+01
   0.217377E-03   0.242488E+06   0.242484E+06   0.322676E+06   0.322601E+06   0.000000E+00   0.242487E+06   0.242487E+06   0.252119E+06   0.604446E+00   0.241374E+06   0.241373E+06   0.811332E+01
   0.240007E-03   0.242481E+06   0.242476E+06   0.322527E+06   0.322435E+06   0.000000E+00   0.242480E+06   0.242480E+06   0.252107E+06   0.604418E+00   0.241368E+06   0.241367E+06   0.895763E+01
   0.264994E-03   0.242473E+06   0.242467E+06   0.322345E+06   0.322234E+06   0.000000E+00   0.242472E+06   0.242472E+06   0.252094E+06   0.604383E+00   0.241360E+06   0.241358E+06   0.988973E+01
   0.292581E-03   0.242463E+06   0.242456E+06   0.322124E+06   0.321988E+06   0.000000E+00   0.242462E+06   0.242462E+06   0.252077E+06   0.604341E+00   0.241350E+06   0.241348E+06   0.109187E+02
   0.323040E-03   0.242452E+06   0.242443E+06   0.321855E+06   0.321689E+06   0.000000E+00   0.242450E+06   0.242450E+06   0.252056E+06   0.604289E+00   0.241338E+06   0.241336E+06   0.120546E+02
   0.356671E-03   0.242437E+06   0.242427E+06   0.321526E+06   0.321325E+06   0.000000E+00   0.242436E+06   0.242436E+06   0.252031E+06   0.604227E+00   0.241324E+06   0.241321E+06   0.133085E+02
   0.393802E-03   0.242420E+06   0.242407E+06   0.321127E+06   0.320882E+06   0.000000E+00   0.242418E+06   0.242418E+06   0.252001E+06   0.604150E+00   0.241307E+06   0.241303E+06   0.146926E+02
   0.434799E-03   0.242398E+06   0.242383E+06   0.320640E+06   0.320342E+06   0.000000E+00   0.242396E+06   0.242396E+06   0.251964E+06   0.604057E+00   0.241285E+06   0.241281E+06   0.162202E+02
   0.480065E-03   0.242372E+06   0.242353E+06   0.320048E+06   0.319685E+06   0.000000E+00   0.242369E+06   0.242369E+06   0.251919E+06   0.603944E+00   0.241259E+06   0.241254E+06   0.179062E+02
