#          k/h    axion          baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_axion        v_b            v_b-v_a     
   0.100898E-04   0.242516E+06   0.242516E+06   0.323353E+06   0.323353E+06   0.000000E+00   0.242516E+06   0.242516E+06   0.252168E+06   0.604576E+00   0.241402E+06   0.241402E+06   0.376648E+00
   0.111402E-04   0.242516E+06   0.242516E+06   0.323353E+06   0.323352E+06   0.000000E+00   0.242516E+06   0.242516E+06   0.252168E+06   0.604576E+00   0.241402E+06   0.241402E+06   0.415860E+00
   0.123000E-04   0.242516E+06   0.242516E+06   0.323352E+06   0.323352E+06   0.000000E+00   0.242516E+06   0.242516E+06   0.252168E+06   0.604576E+00   0.241402E+06   0.241402E+06   0.459153E+00
   0.135805E-04   0.242516E+06   0.242516E+06   0.323352E+06   0.323351E+06   0.000000E+00   0.242516E+06   0.242516E+06   0.252168E+06   0.604576E+00   0.241402E+06   0.241402E+06   0.506953E+00
   0.149943E-04   0.242516E+06   0.242516E+06   0.323351E+06   0.323351E+06   0.000000E+00   0.242516E+06   0.242516E+06   0.252168E+06   0.604576E+00   0.241402E+06   0.241402E+06   0.559730E+00
   0.165553E-04   0.242516E+06   0.242516E+06   0.323350E+06   0.323350E+06   0.000000E+00   0.242516E+06   0.242516E+06   0.252168E+06   0.604575E+00   0.241402E+06   0.241402E+06   0.618001E+00
   0.182788E-04   0.242516E+06   0.242516E+06   0.323350E+06   0.323349E+06   0.000000E+00   0.242516E+06   0.242516E+06   0.252168E+06   0.604575E+00   0.241402E+06   0.241402E+06   0.682339E+00
   0.201817E-04   0.242516E+06   0.242515E+06   0.323348E+06   0.323348E+06   0.000000E+00   0.242516E+06   0.242516E+06   0.252168E+06   0.604575E+00   0.241402E+06   0.241402E+06   0.753374E+00
   0.222827E-04   0.242515E+06   0.242515E+06   0.323347E+06   0.323346E+06   0.000000E+00   0.242515E+06   0.242515E+06   0.252168E+06   0.604575E+00   0.241402E+06   0.241402E+06   0.831805E+00
   0.246025E-04   0.242515E+06   0.242515E+06   0.323346E+06   0.323345E+06   0.000000E+00   0.242515E+06   0.242515E+06   0.252168E+06   0.604575E+00   0.241402E+06   0.241402E+06   0.918400E+00
   0.271638E-04   0.242515E+06   0.242515E+06   0.323344E+06   0.323343E+06   0.000000E+00   0.242515E+06   0.242515E+06   0.252168E+06   0.604574E+00   0.241402E+06   0.241402E+06   0.101401E+01
   0.299917E-04   0.242515E+06   0.242515E+06   0.323341E+06   0.323340E+06   0.000000E+00   0.242515E+06   0.242515E+06   0.252168E+06   0.604574E+00   0.241402E+06   0.241402E+06   0.111957E+01
   0.331140E-04   0.242515E+06   0.242515E+06   0.323339E+06   0.323337E+06   0.000000E+00   0.242515E+06   0.242515E+06   0.252167E+06   0.604573E+00   0.241402E+06   0.241402E+06   0.123613E+01
   0.365613E-04   0.242515E+06   0.242515E+06   0.323335E+06   0.323333E+06   0.000000E+00   0.242515E+06   0.242515E+06   0.252167E+06   0.604573E+00   0.241402E+06   0.241401E+06   0.136481E+01
