#          k/h    axion          baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_axion        v_b            v_b-v_a     
   0.100898E-04   0.242515E+06   0.242515E+06   0.323353E+06   0.323352E+06   0.000000E+00   0.242515E+06   0.242515E+06   0.252168E+06   0.604576E+00   0.241402E+06   0.241402E+06   0.376648E+00
   0.111402E-04   0.242515E+06   0.242515E+06   0.323352E+06   0.323352E+06   0.000000E+00   0.242515E+06   0.242515E+06   0.252168E+06   0.604576E+00   0.241402E+06   0.241402E+06   0.415859E+00
   0.123000E-04   0.242515E+06   0.242515E+06   0.323352E+06   0.323352E+06   0.000000E+00   0.242515E+06   0.242515E+06   0.252168E+06   0.604576E+00   0.241402E+06   0.241402E+06   0.459153E+00
   0.135805E-04   0.242515E+06   0.242515E+06   0.323351E+06   0.323351E+06   0.000000E+00   0.242515E+06   0.242515E+06   0.252168E+06   0.604576E+00   0.241402E+06   0.241402E+06   0.506953E+00
   0.149943E-04   0.242515E+06   0.242515E+06   0.323351E+06   0.323350E+06   0.000000E+00   0.242515E+06   0.242515E+06   0.252168E+06   0.604576E+00   0.241402E+06   0.241402E+06   0.559730E+00
   0.165553E-04   0.242515E+06   0.242515E+06   0.323350E+06   0.323350E+06   0.000000E+00   0.242515E+06   0.242515E+06   0.252168E+06   0.604575E+00   0.241402E+06   0.241402E+06   0.618001E+00
   0.182788E-04   0.242515E+06   0.242515E+06   0.323349E+06   0.323349E+06   0.000000E+00   0.242515E+06   0.242515E+06   0.252168E+06   0.604575E+00   0.241402E+06   0.241402E+06   0.682338E+00
   0.201817E-04   0.242515E+06   0.242515E+06   0.323348E+06   0.323348E+06   0.000000E+00   0.242515E+06   0.242515E+06   0.252168E+06   0.604575E+00   0.241402E+06   0.241402E+06   0.753374E+00
   0.222827E-04   0.242515E+06   0.242515E+06   0.323347E+06   0.323346E+06   0.000000E+00   0.242515E+06   0.242515E+06   0.252168E+06   0.604575E+00   0.241402E+06   0.241402E+06   0.831804E+00
   0.246025E-04   0.242515E+06   0.242515E+06   0.323345E+06   0.323344E+06   0.000000E+00   0.242515E+06   0.242515E+06   0.252168E+06   0.604575E+00   0.241402E+06   0.241402E+06   0.918399E+00
   0.271638E-04   0.242515E+06   0.242515E+06   0.323343E+06   0.323342E+06   0.000000E+00   0.242515E+06   0.242515E+06   0.252168E+06   0.604574E+00   0.241402E+06   0.241402E+06   0.101401E+01
   0.299917E-04   0.242515E+06   0.242515E+06   0.323341E+06   0.323340E+06   0.000000E+00   0.242515E+06   0.242515E+06   0.252167E+06   0.604574E+00   0.241402E+06   0.241402E+06   0.111957E+01
   0.331140E-04   0.242515E+06   0.242515E+06   0.323338E+06   0.323337E+06   0.000000E+00   0.242515E+06   0.242515E+06   0.252167E+06   0.604573E+00   0.241401E+06   0.241401E+06   0.123613E+01
   0.365613E-04   0.242515E+06   0.242515E+06   0.323335E+06   0.323333E+06   0.000000E+00   0.242515E+06   0.242515E+06   0.252167E+06   0.604573E+00   0.241401E+06   0.241401E+06   0.136481E+01
   0.403676E-04   0.242515E+06   0.242514E+06   0.323331E+06   0.323328E+06   0.000000E+00   0.242515E+06   0.242515E+06   0.252167E+06   0.604572E+00   0.241401E+06   0.241401E+06   0.150690E+01
   0.445701E-04   0.242514E+06   0.242514E+06   0.323325E+06   0.323322E+06   0.000000E+00   0.242514E+06   0.242514E+06   0.252166E+06   0.604571E+00   0.241401E+06   0.241401E+06   0.166377E+01
   0.492101E-04   0.242514E+06   0.242514E+06   0.323319E+06   0.323315E+06   0.000000E+00   0.242514E+06   0.242514E+06   0.252166E+06   0.604569E+00   0.241401E+06   0.241401E+06   0.183698E+01
   0.543332E-04   0.242514E+06   0.242513E+06   0.323312E+06   0.323307E+06   0.000000E+00   0.242514E+06   0.242514E+06   0.252165E+06   0.604568E+00   0.241400E+06   0.241400E+06   0.202821E+01
   0.599896E-04   0.242513E+06   0.242513E+06   0.323302E+06   0.323296E+06   0.000000E+00   0.242513E+06   0.242513E+06   0.252164E+06   0.604566E+00   0.241400E+06   0.241400E+06   0.223936E+01
