# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_dmeff                5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_dmeff               13:t_fld                 14:t_ur                  15:t_tot              
       1.341865622330e+00      -6.446206068350e-03      -4.539132324595e+02      -6.378257442994e+02       0.000000000000e+00      -6.442779927932e-03      -5.899937348207e+02       1.610694981983e-03       1.610694981983e-03      -2.502428203965e-07       7.294496896519e-01       7.595036338460e-01                      nan      -2.447097547598e-07       7.256864612138e-01 
       1.373126636993e+00      -6.203170289266e-03      -4.573914121651e+02      -6.427092842141e+02       0.000000000000e+00      -6.199873316695e-03      -5.945114810666e+02       1.549968329174e-03       1.549968329174e-03      -2.408118700898e-07       7.350360680309e-01       7.653185053009e-01                      nan      -2.354873963224e-07       7.312426774145e-01 
       1.405114289018e+00      -5.969017317171e-03      -4.608733994927e+02      -6.475984887360e+02       0.000000000000e+00      -5.965844791835e-03      -5.990344316874e+02       1.491461197959e-03       1.491461197959e-03      -2.317253115252e-07       7.406286903405e-01       7.711399234172e-01                      nan      -2.266018069297e-07       7.368051418684e-01 
       1.437845941636e+00      -5.743487254678e-03      -4.643635596536e+02      -6.524976809072e+02       0.000000000000e+00      -5.740434593408e-03      -6.035667911613e+02       1.435108648352e-03       1.435108648352e-03      -2.229744190171e-07       7.462347358950e-01       7.769750524735e-01                      nan      -2.180444818341e-07       7.423807470439e-01 
       1.471339247998e+00      -5.526187600170e-03      -4.678547815189e+02      -6.573999551899e+02       0.000000000000e+00      -5.523250429487e-03      -6.081018212605e+02       1.380812607372e-03       1.380812607372e-03      -2.145417279180e-07       7.518426468679e-01       7.828123756945e-01                      nan      -2.097982966163e-07       7.479584104412e-01 
       1.505612184263e+00      -5.316817793751e-03      -4.713460290576e+02      -6.623025166170e+02       0.000000000000e+00      -5.313991899384e-03      -6.126370886885e+02       1.328497974846e-03       1.328497974846e-03      -2.064165539156e-07       7.574505708866e-01       7.886497388336e-01                      nan      -2.018528232746e-07       7.535361079701e-01 
       1.540683078543e+00      -5.115175175862e-03      -4.748441946971e+02      -6.672131877379e+02       0.000000000000e+00      -5.112456450799e-03      -6.171800408624e+02       1.278114112700e-03       1.278114112700e-03      -1.985919515132e-07       7.630694179064e-01       7.944982677739e-01                      nan      -1.942012888786e-07       7.591245055846e-01 
       1.576570636173e+00      -4.920952220606e-03      -4.783460648994e+02      -6.721306682716e+02       0.000000000000e+00      -4.918336722280e-03      -6.217291098713e+02       1.229584180570e-03       1.229584180570e-03      -1.910539124975e-07       7.686939191369e-01       8.003530337404e-01                      nan      -1.868299522345e-07       7.647188094030e-01 
       1.613293961846e+00      -4.733884997403e-03      -4.818514043840e+02      -6.770511548508e+02       0.000000000000e+00      -4.731368922286e-03      -6.262811719355e+02       1.182842230572e-03       1.182842230572e-03      -1.837946833290e-07       7.743240556027e-01       8.062133348716e-01                      nan      -1.797312825332e-07       7.703184523530e-01 
       1.650872579130e+00      -4.553705006094e-03      -4.853582489239e+02      -6.819760447809e+02       0.000000000000e+00      -4.551284694547e-03      -6.308370474475e+02       1.137821173637e-03       1.137821173637e-03      -1.768014025377e-07       7.799567355540e-01       8.120766623611e-01                      nan      -1.728926524032e-07       7.759209295120e-01 
       1.689326447901e+00      -4.380295860574e-03      -4.888807238691e+02      -6.869207460412e+02       0.000000000000e+00      -4.377967713680e-03      -6.354114931743e+02       1.094491928420e-03       1.094491928420e-03      -1.700717959358e-07       7.856148307587e-01       8.179661529608e-01                      nan      -1.663118840617e-07       7.815484502771e-01 
       1.728675980162e+00      -4.213217443492e-03      -4.923967337739e+02      -6.918581037112e+02       0.000000000000e+00      -4.210978097080e-03      -6.399789485104e+02       1.052744524270e-03       1.052744524270e-03      -1.635870914281e-07       7.912625449959e-01       8.238450718281e-01                      nan      -1.599705857178e-07       7.871658340448e-01 
       1.768942054649e+00      -4.052322369715e-03      -4.959149021429e+02      -6.967982278673e+02       0.000000000000e+00      -4.050168537556e-03      -6.445489933128e+02       1.012542134389e-03       1.012542134389e-03      -1.573423321081e-07       7.969135349329e-01       8.297274031504e-01                      nan      -1.538639257709e-07       7.927864780455e-01 
       1.810146030594e+00      -3.897409102077e-03      -4.994375241873e+02      -7.017433640381e+02       0.000000000000e+00      -3.895337604831e-03      -6.491238159550e+02       9.738344012077e-04       9.738344012077e-04      -1.513301286066e-07       8.025714697120e-01       8.356168051828e-01                      nan      -1.479846871267e-07       7.984139022487e-01 
       1.852309760920e+00      -3.748294424957e-03      -5.029684934194e+02      -7.067012509995e+02       0.000000000000e+00      -3.746302181160e-03      -6.537103173310e+02       9.365755452899e-04       9.365755452899e-04      -1.455423359681e-07       8.082428030442e-01       8.415203824896e-01                      nan      -1.423248836328e-07       8.040548364525e-01 
       1.895455605103e+00      -3.604693133671e-03      -5.064972924706e+02      -7.116566947926e+02       0.000000000000e+00      -3.602777213192e-03      -6.582944900650e+02       9.006943032980e-04       9.006943032980e-04      -1.399683838236e-07       8.139108642721e-01       8.474206098166e-01                      nan      -1.368741889443e-07       8.096925611848e-01 
       1.939606441877e+00      -3.466468321960e-03      -5.100323312718e+02      -7.166201186781e+02       0.000000000000e+00      -3.464625867227e-03      -6.628861340657e+02       8.661564668066e-04       8.661564668066e-04      -1.346033342434e-07       8.195891389140e-01       8.533313696582e-01                      nan      -1.316277820020e-07       8.153403648973e-01 
       1.984785681927e+00      -3.333373337217e-03      -5.135657993213e+02      -7.215813961879e+02       0.000000000000e+00      -3.331601621862e-03      -6.674757858973e+02       8.329004054656e-04       8.329004054656e-04      -1.294373743561e-07       8.252647928579e-01       8.592393953220e-01                      nan      -1.265760619923e-07       8.209855570002e-01 
       2.031017280652e+00      -3.205271317127e-03      -5.171049225043e+02      -7.265505217627e+02       0.000000000000e+00      -3.203567687588e-03      -6.720727085623e+02       8.008919218970e-04       8.008919218970e-04      -1.244650434914e-07       8.309493089473e-01       8.651567110445e-01                      nan      -1.217136859045e-07       8.266396159810e-01 
       2.078325751098e+00      -3.081908758898e-03      -5.206374123741e+02      -7.315108950246e+02       0.000000000000e+00      -3.080270696335e-03      -6.766614708362e+02       7.700676740837e-04       7.700676740837e-04      -1.196765238835e-07       8.366231051150e-01       8.710629327125e-01                      nan      -1.170310535309e-07       8.322830646154e-01 
       2.126736177086e+00      -2.963260417993e-03      -5.241879119427e+02      -7.364961515754e+02       0.000000000000e+00      -2.961685416931e-03      -6.812732985576e+02       7.404213542329e-04       7.404213542329e-04      -1.150709093380e-07       8.423260274624e-01       8.769995150935e-01                      nan      -1.125272801804e-07       8.379555168961e-01 
       2.176274226598e+00      -2.849040934321e-03      -5.277367718446e+02      -7.414794101104e+02       0.000000000000e+00      -2.847526640941e-03      -6.858832434785e+02       7.118816602352e-04       7.118816602352e-04      -1.106371430959e-07       8.480264411728e-01       8.829335166523e-01                      nan      -1.081915539869e-07       8.436254985285e-01 
       2.226966165435e+00      -2.739184139913e-03      -5.313019489325e+02      -7.464848292050e+02       0.000000000000e+00      -2.737728235546e-03      -6.905137744093e+02       6.844320588866e-04       6.844320588866e-04      -1.063726587653e-07       8.537529520967e-01       8.888947212203e-01                      nan      -1.040213653089e-07       8.493214673001e-01 
       2.278838871174e+00      -2.633334826581e-03      -5.348448493930e+02      -7.514602253988e+02       0.000000000000e+00      -2.631935181386e-03      -6.951163887402e+02       6.579837953464e-04       6.579837953464e-04      -1.022636183761e-07       8.594434918560e-01       8.948185484190e-01                      nan      -1.000031811701e-07       8.549817114252e-01 
       2.331919847426e+00      -2.531577062054e-03      -5.384115683188e+02      -7.564683370912e+02       0.000000000000e+00      -2.530231501474e-03      -6.997493508394e+02       6.325578753686e-04       6.325578753686e-04      -9.831330893651e-08       8.651723372602e-01       9.007823191321e-01                      nan      -9.614021631482e-08       8.606801115063e-01 
       2.386237238440e+00      -2.433618796316e-03      -5.419723891245e+02      -7.614684909954e+02       0.000000000000e+00      -2.432325300969e-03      -7.043749145514e+02       6.080813252422e-04       6.080813252422e-04      -9.451050247261e-08       8.708918787057e-01       9.067364071025e-01                      nan      -9.242149329497e-08       8.663692592764e-01 
       2.441819844019e+00      -2.339358677277e-03      -5.455352271841e+02      -7.664709313767e+02       0.000000000000e+00      -2.338115281588e-03      -7.090026556227e+02       5.845288203969e-04       5.845288203969e-04      -9.085136888641e-08       8.766146555193e-01       9.126937950483e-01                      nan      -8.884326882466e-08       8.720615705109e-01 
