# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_dmeff                5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_dmeff               13:t_fld                 14:t_ur                  15:t_tot              
       2.694812277303e-04      -1.561762113881e+00      -1.171347633536e+00      -1.171347842485e+00       0.000000000000e+00      -1.561758063478e+00      -1.182662285246e+00       6.121123414182e-01       5.966337699255e-01       1.080512440342e-05       1.088325069593e-05       1.088331695768e-05                      nan       1.080015211607e-05       1.088023616616e-05 
       2.887471433953e-04      -1.563412230041e+00      -1.172593516356e+00      -1.172593792876e+00       0.000000000000e+00      -1.563406891409e+00      -1.183919922648e+00       6.120763381054e-01       5.966095935505e-01       1.239166954693e-05       1.249464865153e-05       1.249473630620e-05                      nan       1.238512069304e-05       1.249067550103e-05 
       3.089565513139e-04      -1.565260320826e+00      -1.173990234736e+00      -1.173990596663e+00       0.000000000000e+00      -1.565253328794e+00      -1.185329771886e+00       6.120367500159e-01       5.965832146458e-01       1.416948694361e-05       1.430439430072e-05       1.430450905417e-05                      nan       1.416091437221e-05       1.429918933348e-05 
       3.302056182976e-04      -1.567334977020e+00      -1.175559904586e+00      -1.175560375642e+00       0.000000000000e+00      -1.567325862805e+00      -1.186914140066e+00       6.119924704873e-01       5.965537606279e-01       1.616318104730e-05       1.633909406600e-05       1.633924346295e-05                      nan       1.615201268500e-05       1.633230699157e-05 
       3.525991041420e-04      -1.569670389596e+00      -1.177329061070e+00      -1.177329673376e+00       0.000000000000e+00      -1.569658548982e+00      -1.188699789434e+00       6.119419192481e-01       5.965199472342e-01       1.840097517129e-05       1.862959675310e-05       1.862979085667e-05                      nan       1.838647718780e-05       1.862077629346e-05 
       3.762509287930e-04      -1.572298672628e+00      -1.179322851851e+00      -1.179323647423e+00       0.000000000000e+00      -1.572283330858e+00      -1.190712075555e+00       6.118851496855e-01       5.964820136407e-01       2.091547042885e-05       2.121172589342e-05       2.121197818952e-05                      nan       2.089670333750e-05       2.120029697785e-05 
       4.012846398372e-04      -1.575263023998e+00      -1.181575145844e+00      -1.181576174939e+00       0.000000000000e+00      -1.575243192569e+00      -1.192985141860e+00       6.118206461595e-01       5.964387952558e-01       2.374382740730e-05       2.412697412158e-05       2.412730033279e-05                      nan       2.371959226649e-05       2.411219362485e-05 
       4.278337222871e-04      -1.578608015616e+00      -1.184121181101e+00      -1.184122510530e+00       0.000000000000e+00      -1.578582420027e+00      -1.195554506948e+00       6.117479905404e-01       5.963901664573e-01       2.692869403247e-05       2.742343773813e-05       2.742385905589e-05                      nan       2.689744960996e-05       2.740435305890e-05 
       4.560416775835e-04      -1.582387205691e+00      -1.187003699803e+00      -1.187005339482e+00       0.000000000000e+00      -1.582354327077e+00      -1.198463177397e+00       6.116660595715e-01       5.963354460914e-01       3.051841814596e-05       3.115676460515e-05       3.115726944480e-05                      nan       3.047828815425e-05       3.113211217735e-05 
       4.860617833145e-04      -1.586665646309e+00      -1.190274254581e+00      -1.190276414837e+00       0.000000000000e+00      -1.586623206988e+00      -1.201763250695e+00       6.115727203435e-01       5.962728888488e-01       3.456797930925e-05       3.539098533809e-05       3.539166040239e-05                      nan       3.451627938453e-05       3.535922155034e-05 
       5.180564313506e-04      -1.591509446750e+00      -1.193987058481e+00      -1.193989708891e+00       0.000000000000e+00      -1.591454997439e+00      -1.205509087264e+00       6.114673926555e-01       5.962025248540e-01       3.913888756879e-05       4.020010036421e-05       4.020090551326e-05                      nan       3.907257496387e-05       4.015909603360e-05 
       5.521959330390e-04      -1.597007474747e+00      -1.198212649664e+00      -1.198216466297e+00       0.000000000000e+00      -1.596936654746e+00      -1.209772307109e+00       6.113462519310e-01       5.961209407721e-01       4.430049463431e-05       4.566822491230e-05       4.566945194235e-05                      nan       4.421467092937e-05       4.561552357830e-05 
       5.886566801031e-04      -1.603238889519e+00      -1.203019157884e+00      -1.203023987780e+00       0.000000000000e+00      -1.603147782251e+00      -1.214620692174e+00       6.112096321883e-01       5.960293996094e-01       5.012809069780e-05       5.189235454567e-05       5.189389113385e-05                      nan       5.001785344323e-05       5.182434420690e-05 
       6.276185643138e-04      -1.610309396625e+00      -1.208493868238e+00      -1.208500054491e+00       0.000000000000e+00      -1.610192039696e+00      -1.220142439683e+00       6.110540345036e-01       5.959250318477e-01       5.670482823454e-05       5.898142043019e-05       5.898338202305e-05                      nan       5.656313464232e-05       5.889365207186e-05 
       6.692615934693e-04      -1.618331610089e+00      -1.214732291486e+00      -1.214740483312e+00       0.000000000000e+00      -1.618179937147e+00      -1.226433779543e+00       6.108765014518e-01       5.958056888638e-01       6.411957780472e-05       6.705808224777e-05       6.706070269585e-05                      nan       6.393710625955e-05       6.694487320995e-05 
       7.137617003222e-04      -1.627421377346e+00      -1.221837413480e+00      -1.221847788696e+00       0.000000000000e+00      -1.627226146488e+00      -1.233597673903e+00       6.106751951077e-01       5.956705714107e-01       7.246493348784e-05       7.625953171065e-05       7.626282349124e-05                      nan       7.223064470853e-05       7.611328773712e-05 
       7.612858261435e-04      -1.637712916768e+00      -1.229927756070e+00      -1.229941159878e+00       0.000000000000e+00      -1.637461172039e+00      -1.241753597064e+00       6.104460186248e-01       5.955165019414e-01       8.183621103892e-05       8.673629240097e-05       8.674053590418e-05                      nan       8.153519991682e-05       8.654746119892e-05 
       8.119864671933e-04      -1.649343361479e+00      -1.239130232230e+00      -1.239147756514e+00       0.000000000000e+00      -1.649018564199e+00      -1.251028915916e+00       6.101854473362e-01       5.953410542070e-01       9.232683620848e-05       9.865263394014e-05       9.865821512179e-05                      nan       9.194020085450e-05       9.840897424327e-05 
       8.659959882004e-04      -1.662450686621e+00      -1.249579551308e+00      -1.249602129379e+00       0.000000000000e+00      -1.662032507709e+00      -1.261558260880e+00       6.098904523621e-01       5.951423829008e-01       1.040240802269e-04       1.121854900726e-04       1.121926597235e-04                      nan       1.035286072019e-04       1.118711530307e-04 
       9.234211115549e-04      -1.677176523184e+00      -1.261420172622e+00      -1.261448950717e+00       0.000000000000e+00      -1.676639369901e+00      -1.273486119731e+00       6.095571305771e-01       5.949177734566e-01       1.170039922730e-04       1.275219325152e-04       1.275310184372e-04                      nan       1.163707197805e-04       1.271167922625e-04 
       9.843380583383e-04      -1.693663483195e+00      -1.274804324819e+00      -1.274841661150e+00       0.000000000000e+00      -1.692973656095e+00      -1.286965329843e+00       6.091805343539e-01       5.946634129960e-01       1.313253145728e-04       1.448562676234e-04       1.448680760113e-04                      nan       1.305172226079e-04       1.443352684884e-04 
       1.048788822492e-03      -1.712036240809e+00      -1.289884091916e+00      -1.289932225971e+00       0.000000000000e+00      -1.711153003735e+00      -1.302147001178e+00       6.087574557179e-01       5.943773125980e-01       1.470213956491e-04       1.643884726643e-04       1.644036923366e-04                      nan       1.459940544721e-04       1.637199716190e-04 
       1.116778986862e-03      -1.732407478396e+00      -1.306813973731e+00      -1.306875366353e+00       0.000000000000e+00      -1.731281160185e+00      -1.319184495427e+00       6.082841164601e-01       5.940568403284e-01       1.640936385519e-04       1.863194512402e-04       1.863388017575e-04                      nan       1.627936861659e-04       1.854640550741e-04 
       1.188277341593e-03      -1.754876648727e+00      -1.325748171349e+00      -1.325827344326e+00       0.000000000000e+00      -1.753444107191e+00      -1.338231939796e+00       6.077556539234e-01       5.936981041032e-01       1.825053025848e-04       2.108463546187e-04       2.108713627668e-04                      nan       1.808672589132e-04       2.097561779411e-04 
