# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_dmeff                6:d_fld                  7:d_ur                   8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_dmeff               14:t_fld                 15:t_ur                  16:t_tot              
       2.845549130966e-01      -2.378357276587e-02      -2.286496509471e+02      -3.289480154319e+02      -3.289479847199e+02       0.000000000000e+00      -2.374454486927e-02      -3.034105785870e+02       1.841993454857e-02       1.841993454857e-02      -3.908629306366e-01      -1.720041982261e-02      -1.918011971129e-09                      nan      -3.908628678326e-01      -1.767732511658e-02 
       2.876559083981e-01      -2.341163616042e-02      -2.301087097128e+02      -3.308510959570e+02      -3.308510644020e+02       0.000000000000e+00      -2.337321208422e-02      -3.051876409110e+02       1.813050295159e-02       1.813050295159e-02      -3.931381272282e-01      -1.719492543765e-02      -1.969101927970e-09                      nan      -3.931380653820e-01      -1.776353170757e-02 
       2.907569045219e-01      -2.306523287143e-02      -2.321031673321e+02      -3.328583752205e+02      -3.328583428057e+02       0.000000000000e+00      -2.302736367820e-02      -3.071346908665e+02       1.785904663406e-02       1.785904663406e-02      -3.956127928247e-01      -1.706708344980e-02      -2.021103356374e-09                      nan      -3.956127318416e-01      -1.783803566081e-02 
       2.938579014420e-01      -2.274042031484e-02      -2.345389593419e+02      -3.349529220182e+02      -3.349528887266e+02       0.000000000000e+00      -2.270306569507e-02      -3.092229794232e+02       1.760299031180e-02       1.760299031180e-02      -3.982537932645e-01      -1.684450406069e-02      -2.073942214989e-09                      nan      -3.982537330685e-01      -1.790393258171e-02 
       2.969588991332e-01      -2.243292395869e-02      -2.372949604137e+02      -3.371154260166e+02      -3.371153918310e+02       0.000000000000e+00      -2.239605283252e-02      -3.114175088203e+02       1.735960087036e-02       1.735960087036e-02      -4.010214441919e-01      -1.656133004784e-02      -2.127664731621e-09                      nan      -4.010213847268e-01      -1.796509983535e-02 
       3.000598975715e-01      -2.213796332976e-02      -2.402229302149e+02      -3.393186412055e+02      -3.393186061088e+02       0.000000000000e+00      -2.210155476541e-02      -3.136725150836e+02       1.712576244717e-02       1.712576244717e-02      -4.038628054994e-01      -1.625575771837e-02      -2.182277958696e-09                      nan      -4.038627467304e-01      -1.802554811173e-02 
       3.031608967339e-01      -2.185084463161e-02      -2.431681806188e+02      -3.415314103538e+02      -3.415313743284e+02       0.000000000000e+00      -2.181488748074e-02      -3.159380316021e+02       1.689837215977e-02       1.689837215977e-02      -4.067194393379e-01      -1.596507758071e-02      -2.237781267406e-09                      nan      -4.067193812507e-01      -1.808893454621e-02 
       3.062618965982e-01      -2.156713966429e-02      -2.459782323467e+02      -3.437194269786e+02      -3.437193900069e+02       0.000000000000e+00      -2.153163180967e-02      -3.181618887969e+02       1.667444998512e-02       1.667444998512e-02      -4.095296023372e-01      -1.572338963720e-02      -2.294186396181e-09                      nan      -4.095295449362e-01      -1.815828551462e-02 
       3.093628971433e-01      -2.128320116077e-02      -2.485218643506e+02      -3.458500839085e+02      -3.458500459729e+02       0.000000000000e+00      -2.124814773080e-02      -3.202966882531e+02       1.645149095351e-02       1.645149095351e-02      -4.122365864503e-01      -1.555762631222e-02      -2.351500856714e-09                      nan      -4.122365297541e-01      -1.823568729221e-02 
       3.124638983487e-01      -2.099638533375e-02      -2.506980605595e+02      -3.478958155740e+02      -3.478957766565e+02       0.000000000000e+00      -2.096179650717e-02      -3.223039424740e+02       1.622763253824e-02       1.622763253824e-02      -4.147938471952e-01      -1.548611960366e-02      -2.409733108290e-09                      nan      -4.147937912325e-01      -1.832225586258e-02 
       3.155649001950e-01      -2.070534603845e-02      -2.524478995067e+02      -3.498386900837e+02      -3.498386501663e+02       0.000000000000e+00      -2.067123431501e-02      -3.241596983774e+02       1.600187427052e-02       1.600187427052e-02      -4.171719913413e-01      -1.551693752487e-02      -2.468888888269e-09                      nan      -4.171719361446e-01      -1.841814142622e-02 
       3.186659026633e-01      -2.040993533868e-02      -2.537530017781e+02      -3.516714755210e+02      -3.516714345855e+02       0.000000000000e+00      -2.037631307660e-02      -3.258551547883e+02       1.577402767952e-02       1.577402767952e-02      -4.193597422148e-01      -1.564899418117e-02      -2.528974353548e-09                      nan      -4.193596878155e-01      -1.852274078766e-02 
       3.217669057355e-01      -2.011125588688e-02      -2.546432553773e+02      -3.533989106789e+02      -3.533988687069e+02       0.000000000000e+00      -2.007813273433e-02      -3.273989263345e+02       1.554474776039e-02       1.554474776039e-02      -4.213665968905e-01      -1.587057122872e-02      -2.589995181267e-09                      nan      -4.213665433139e-01      -1.863456537192e-02 
       3.248679093943e-01      -1.981108088264e-02      -2.551788596040e+02      -3.550330792351e+02      -3.550330362082e+02       0.000000000000e+00      -1.977846243824e-02      -3.288104245084e+02       1.531514489963e-02       1.531514489963e-02      -4.232149433513e-01      -1.616372358919e-02      -2.651956734229e-09                      nan      -4.232148906136e-01      -1.875163584469e-02 
       3.279689136230e-01      -1.951174759232e-02      -2.554504552628e+02      -3.565923927115e+02      -3.565923486110e+02       0.000000000000e+00      -1.947963427489e-02      -3.301190531677e+02       1.508670408327e-02       1.508670408327e-02      -4.249389610587e-01      -1.650417692225e-02      -2.714863189966e-09                      nan      -4.249389091648e-01      -1.887142383020e-02 
       3.310699184054e-01      -1.921565384197e-02      -2.555616311758e+02      -3.580967437015e+02      -3.580966985087e+02       0.000000000000e+00      -1.918404079972e-02      -3.313574841369e+02       1.486094644769e-02       1.486094644769e-02      -4.265765742146e-01      -1.686529414213e-02      -2.778718632819e-09                      nan      -4.265765231580e-01      -1.899117084638e-02 
       3.341709237261e-01      -1.892518355755e-02      -2.556239158603e+02      -3.595676051494e+02      -3.595675588455e+02       0.000000000000e+00      -1.889406076858e-02      -3.325609385712e+02       1.463939174933e-02       1.463939174933e-02      -4.281687838699e-01      -1.721970521544e-02      -2.843526245346e-09                      nan      -4.281687336328e-01      -1.910812032675e-02 
       3.372719295702e-01      -1.864246055397e-02      -2.557434490435e+02      -3.610264507228e+02      -3.610264032887e+02       0.000000000000e+00      -1.861181346695e-02      -3.337637782993e+02       1.442340861781e-02       1.442340861781e-02      -4.297558596416e-01      -1.754276865065e-02      -2.909289189459e-09                      nan      -4.297558101965e-01      -1.921991894790e-02 
       3.403729359232e-01      -1.836929406931e-02      -2.560151433530e+02      -3.624948261610e+02      -3.624947775774e+02       0.000000000000e+00      -1.833910437375e-02      -3.349986320801e+02       1.421418866599e-02       1.421418866599e-02      -4.313765067599e-01      -1.781419160130e-02      -2.976009245192e-09                      nan      -4.313764580715e-01      -1.932484080236e-02 
       3.434739427715e-01      -1.810702144363e-02      -2.565144947664e+02      -3.639923797291e+02      -3.639923299769e+02       0.000000000000e+00      -1.807726814554e-02      -3.362934905865e+02       1.401263912313e-02       1.401263912313e-02      -4.330644171445e-01      -1.801970395347e-02      -3.043688810432e-09                      nan      -4.330643691721e-01      -1.942191998712e-02 
       3.465749501015e-01      -1.785643424799e-02      -2.572922462081e+02      -3.655355750430e+02      -3.655355241026e+02       0.000000000000e+00      -1.782709488252e-02      -3.376698103830e+02       1.381932866293e-02       1.381932866293e-02      -4.348459749708e-01      -1.815198475415e-02      -3.112333254642e-09                      nan      -4.348459276708e-01      -1.951100921280e-02 
