# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_dmeff          12:T_dmeff               13:Vrel_dmeff            14:dkappa_dmeff          15:dkappaT_dmeff         16:cdmeff2               17:(.)rho_lambda         18:(.)rho_fld            19:(.)w_fld              20:(.)rho_ur             21:(.)rho_crit           22:(.)rho_tot            23:(.)p_tot              24:(.)p_tot_prime        25:gr.fac. D             26:gr.fac. f          
       1.000000000000e+14       7.559518509159e-26       4.634785000235e-09       2.157256292801e+22       1.415848720639e+04       1.415848720639e-10       1.415848720639e+18       2.676317464532e-09       2.751560535470e+44       2.562433079091e+33       1.303024480644e+34       2.725500000000e+14       0.000000000000e+00       2.795629639651e+35       1.441933061066e+35       3.914427962767e+01       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.902194177205e+44       4.653754712831e+44       4.653754712831e+44       1.551251570892e+44      -1.338578885209e+53       5.735969180497e-20       2.000000000000e+14 
       9.930486593843e+13       7.665722184694e-26       4.667526809499e-09       2.127368887304e+22       1.415848720639e+04       1.425759661684e-10       1.406006673922e+18       2.695051686784e-09       2.675846458098e+44       2.509366642000e+33       1.276039632847e+34       2.706554115769e+14       0.000000000000e+00       2.709237122349e+35       1.397373429432e+35      -2.017259285396e+19       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.849851924417e+44       4.525698382668e+44       4.525698382668e+44       1.508566127505e+44      -1.292696632241e+53       8.002381081443e-08       1.433565615564e+02 
       9.861456399050e+13       7.773417915667e-26       4.700268618762e-09       2.097895552684e+22       1.415848720639e+04       1.435739979315e-10       1.396233042623e+18       2.713917048591e-09       2.602215788102e+44       2.457399178681e+33       1.249613624904e+34       2.687739937692e+14       0.000000000000e+00       2.625514375568e+35       1.354190815099e+35      -1.414711017469e+19       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.798949961722e+44       4.401165749973e+44       4.401165749973e+44       1.467055249941e+44      -1.248387077872e+53       1.600476216288e-07       7.167828077820e+01 
       9.792906056653e+13       7.882626663964e-26       4.733010428026e-09       2.068830552256e+22       1.415848720639e+04       1.445790159171e-10       1.386527351165e+18       2.732914467931e-09       2.530611196824e+44       2.406507930052e+33       1.223734883580e+34       2.669056541506e+14       0.000000000000e+00       2.544378885715e+35       1.312342659111e+35      -1.511393039145e+19       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.749448656977e+44       4.280059853948e+44       4.280059853948e+44       1.426686617934e+44      -1.205596314966e+53       2.400714324432e-07       4.778552051880e+01 
       9.724832231036e+13       7.993369685966e-26       4.767571226694e-09       2.040168228810e+22       1.415848720639e+04       1.455910690285e-10       1.376889127274e+18       2.752044869207e-09       2.460976933110e+44       2.356670608359e+33       1.198392075314e+34       2.650503020480e+14       0.000000000000e+00       2.465750702344e+35       1.271787724535e+35      -1.424090495024e+19       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.701309468591e+44       4.162286401844e+44       4.162286401844e+44       1.387428800567e+44      -1.164272284151e+53       3.200952432575e-07       3.583914038910e+01 
       9.657231609767e+13       8.105668536684e-26       4.800313035958e-09       2.011903003514e+22       1.415848720639e+04       1.466102065117e-10       1.367317901960e+18       2.771309183291e-09       2.393258779894e+44       2.307865387413e+33       1.173574101259e+34       2.632078471159e+14       0.000000000000e+00       2.389552342168e+35       1.232486046953e+35      -1.387746528846e+19       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.654494915512e+44       4.047753695547e+44       4.047753695547e+44       1.349251231802e+44      -1.124364710488e+53       4.001190540718e-07       2.867131231128e+01 
       9.590100903443e+13       8.219545073956e-26       4.833054845221e-09       1.984029374827e+22       1.415848720639e+04       1.476364779573e-10       1.357813209494e+18       2.790708347574e-09       2.327404011992e+44       2.260070893034e+33       1.149270092415e+34       2.613781997194e+14       0.000000000000e+00       2.315708717281e+35       1.194398897438e+35      -1.339781137719e+19       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.608968548046e+44       3.936372560176e+44       3.936372560176e+44       1.312124186679e+44      -1.085825042303e+53       4.801428648862e-07       2.389276025940e+01 
       9.523436845525e+13       8.335021462700e-26       4.867615643889e-09       1.956541917429e+22       1.415848720639e+04       1.486699333030e-10       1.348374587382e+18       2.810243306007e-09       2.263361355047e+44       2.213266193686e+33       1.125469404874e+34       2.595612708241e+14       0.000000000000e+00       2.244147059947e+35       1.157488743765e+35      -1.296783163776e+19       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.564694919476e+44       3.828056274657e+44       3.828056274657e+44       1.276018758174e+44      -1.048606392121e+53       5.601666757005e-07       2.047950879377e+01 
       9.457236192179e+13       8.452120179229e-26       4.902176442556e-09       1.929435281164e+22       1.415848720639e+04       1.497106228361e-10       1.339001576348e+18       2.829915009149e-09       2.201080945604e+44       2.167430791313e+33       1.102161615157e+34       2.577569720208e+14       0.000000000000e+00       2.174796851216e+35       1.121719213587e+35      -1.254277645967e+19       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.521639558466e+44       3.722720504202e+44       3.722720504202e+44       1.240906834690e+44      -1.012663479619e+53       6.401904865148e-07       1.791957019455e+01 
       9.391495722125e+13       8.570864015627e-26       4.936737241223e-09       1.902704189999e+22       1.415848720639e+04       1.507585971959e-10       1.329693720306e+18       2.849724414213e-09       2.140514292293e+44       2.122544612363e+33       1.079336515648e+34       2.559652155129e+14       0.000000000000e+00       2.107589751346e+35       1.087055058555e+35      -1.213396418871e+19       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.479768942219e+44       3.620283234641e+44       3.620283234641e+44       1.206761078171e+44      -9.779525765438e+52       7.202142973291e-07       1.592850683960e+01 
       9.326212236469e+13       8.691276084183e-26       4.971298039891e-09       1.876343440997e+22       1.415848720639e+04       1.518139073763e-10       1.320450566341e+18       2.869672485112e-09       2.081614238068e+44       2.078587998992e+33       1.056984110126e+34       2.541859141148e+14       0.000000000000e+00       2.042459532482e+35       1.053462119590e+35      -1.173781263622e+19       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.439050470378e+44       3.520664708572e+44       3.520664708572e+44       1.173554902815e+44      -9.444314535054e+52       8.002381081434e-07       1.433565615564e+01 
       9.261382558559e+13       8.813379821889e-26       5.005858838558e-09       1.850347903304e+22       1.415848720639e+04       1.528766047279e-10       1.311271664688e+18       2.889760192508e-09       2.024334923495e+44       2.035541700462e+33       1.035094609384e+34       2.524189812467e+14       0.000000000000e+00       1.979342013389e+35       1.020907293220e+35      -1.135472568763e+19       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.399452439641e+44       3.423787363260e+44       3.423787363260e+44       1.141262454379e+44      -9.120593286052e+52       8.802619189577e-07       1.303241468694e+01 
       9.197003533823e+13       8.937198995007e-26       5.040419637226e-09       1.824712517150e+22       1.415848720639e+04       1.539467409610e-10       1.302156568708e+18       2.909988513856e-09       1.968631751041e+44       1.993386864702e+33       1.013658426944e+34       2.506643309309e+14       0.000000000000e+00       1.918174996205e+35       9.893584989612e+34      -1.098406248783e+19       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.360944019083e+44       3.329575770245e+44       3.329575770245e+44       1.109858590041e+44      -8.807968178191e+52       9.602857297720e-07       1.194638012970e+01 
       9.133072029615e+13       9.062757703687e-26       5.074980435893e-09       1.799432292868e+22       1.415848720639e+04       1.550243681478e-10       1.293104834863e+18       2.930358433453e-09       1.914461350357e+44       1.952105030060e+33       9.926661748601e+33       2.489218777871e+14       0.000000000000e+00       1.858898205149e+35       9.587846477025e+34      -1.062547513430e+19       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.323495226141e+44       3.237956576617e+44       3.237956576617e+44       1.079318858833e+44      -8.506058870826e+52       1.040309540586e-06       1.102742781203e+01 
       9.069584935070e+13       9.190080386666e-26       5.111360223964e-09       1.774502309916e+22       1.415848720639e+04       1.561095387248e-10       1.284116022705e+18       2.950870942487e-09       1.861781544502e+44       1.911678117209e+33       9.721086596022e+33       2.471915370286e+14       0.000000000000e+00       1.801453227126e+35       9.291556110704e+34      -1.027855951018e+19       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.287076903280e+44       3.148858447899e+44       3.148858447899e+44       1.049619482594e+44      -8.214498060189e+52       1.120333351401e-06       1.023975439688e+01 
       9.006539160943e+13       9.319191826018e-26       5.147740012035e-09       1.749917715926e+22       1.415848720639e+04       1.572023054959e-10       1.275189694841e+18       2.971527039084e-09       1.810551317112e+44       1.872088421239e+33       9.519768780344e+33       2.454732244581e+14       0.000000000000e+00       1.745783454164e+35       9.004421917397e+34      -9.942937777381e+18       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.251660695284e+44       3.062212012510e+44       3.062212012510e+44       1.020737337465e+44      -7.932931032525e+52       1.200357162215e-06       9.557104103757e+00 
       8.943931639467e+13       9.450117151982e-26       5.182300810702e-09       1.725673725753e+22       1.415848720639e+04       1.583027216343e-10       1.266325416922e+18       2.992327728357e-09       1.760730780460e+44       1.833318603894e+33       9.322620134697e+33       2.437668564635e+14       0.000000000000e+00       1.691834027628e+35       8.726160946614e+34      -9.618243407504e+18       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.217219027182e+44       2.977949807753e+44       2.977949807753e+44       9.926499358805e+43      -7.661015232541e+52       1.280380973029e-06       8.959785097272e+00 
       8.881759324197e+13       9.582881847850e-26       5.218680598773e-09       1.701765620550e+22       1.415848720639e+04       1.594108406858e-10       1.257522757619e+18       3.013274022456e-09       1.712281144399e+44       1.795351685985e+33       9.129554318095e+33       2.420723500141e+14       0.000000000000e+00       1.639551784164e+35       8.456498991800e+34      -9.304121687709e+18       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.183725082777e+44       2.896006227285e+44       2.896006227285e+44       9.653354090587e+43      -7.398419846662e+52       1.360404783843e-06       8.432738915079e+00 
       8.820019189868e+13       9.717511754930e-26       5.255060386844e-09       1.678188746846e+22       1.415848720639e+04       1.605267165706e-10       1.248781288599e+18       3.034366940613e-09       1.665164686165e+44       1.758171039951e+33       8.940486777621e+33       2.403896226561e+14       0.000000000000e+00       1.588885203312e+35       8.195170320124e+34      -9.000229343690e+18       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.151152783767e+44       2.816317470039e+44       2.816317470039e+44       9.387724899774e+43      -7.144825400552e+52       1.440428594658e-06       7.964253419797e+00 
       8.758708232243e+13       9.854033077575e-26       5.293259164318e-09       1.654938515640e+22       1.415848720639e+04       1.616504035866e-10       1.240100584507e+18       3.055607509197e-09       1.619344721000e+44       1.721760382577e+33       8.755334711400e+33       2.387185925092e+14       0.000000000000e+00       1.539784356728e+35       7.941917410617e+34      -8.706234174502e+18       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.119476769443e+44       2.738821490547e+44       2.738821490547e+44       9.129404968142e+43      -6.899923370449e+52       1.520452405472e-06       7.545082187176e+00 
       8.697823467967e+13       9.992472388281e-26       5.329638952389e-09       1.632010401509e+22       1.415848720639e+04       1.627819564117e-10       1.231480222946e+18       3.076996761761e-09       1.574785573594e+44       1.686103767864e+33       8.574017032329e+33       2.370591782621e+14       0.000000000000e+00       1.492200858995e+35       7.696490700404e+34      -8.421813962516e+18       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.088672376937e+44       2.663457950634e+44       2.663457950634e+44       8.878193168437e+43      -6.663415807809e+52       1.600476216286e-06       7.167828077817e+00 
       8.637361934426e+13       1.013285663286e-25       5.366018740460e-09       1.609399941728e+22       1.415848720639e+04       1.639214301066e-10       1.222919784455e+18       3.098535739093e-09       1.531452550306e+44       1.651185580046e+33       8.396454332574e+33       2.354112991685e+14       0.000000000000e+00       1.446087819931e+35       7.458648338777e+34      -8.146658375638e+18       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.058715622028e+44       2.590168172434e+44       2.590168172434e+44       8.633893907778e+43      -6.435014976820e+52       1.680500027100e-06       6.826502931254e+00 
       8.577320689599e+13       1.027521313570e-25       5.404217517935e-09       1.587102735398e+22       1.415848720639e+04       1.650688801173e-10       1.214418852488e+18       3.120225489267e-09       1.489311912151e+44       1.616990526749e+33       8.222568848788e+33       2.337748750439e+14       0.000000000000e+00       1.401399798389e+35       7.228155948870e+34      -7.880465652801e+18       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.029583180460e+44       2.518895092709e+44       2.518895092709e+44       8.396316975370e+43      -6.214443004348e+52       1.760523837914e-06       6.516207343469e+00 
       8.517696811915e+13       1.041956960504e-25       5.442416295409e-09       1.565114442595e+22       1.415848720639e+04       1.662243622781e-10       1.205977013394e+18       3.142067067692e-09       1.448330848536e+44       1.583503632295e+33       8.052284428054e+33       2.321498262607e+14       0.000000000000e+00       1.358092757479e+35       7.004786396693e+34      -7.622945878126e+18       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       1.001252369787e+44       2.449583218419e+44       2.449583218419e+44       8.165277394407e+43      -6.001431541870e+52       1.840547648729e-06       6.232893980710e+00 
       8.458487400115e+13       1.056595413842e-25       5.480615072884e-09       1.543430783517e+22       1.415848720639e+04       1.673879328141e-10       1.197593856399e+18       3.164061537165e-09       1.408477451704e+44       1.550710231144e+33       7.885526494539e+33       2.305360737451e+14       0.000000000000e+00       1.316124021165e+35       6.788319567311e+34      -7.373817078762e+18       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       9.737011317102e+43       2.382178583509e+44       2.382178583509e+44       7.940595278048e+43      -5.795721439001e+52       1.920571459543e-06       5.973190064846e+00 
       8.399689573103e+13       1.071439522811e-25       5.518813850358e-09       1.522047537661e+22       1.415848720639e+04       1.685596483438e-10       1.189268973584e+18       3.186209967925e-09       1.369720691902e+44       1.518595961468e+33       7.722222016827e+33       2.289335389729e+14       0.000000000000e+00       1.275452232219e+35       6.578542147937e+34      -7.132805744574e+18       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       9.469080149052e+43       2.316628706900e+44       2.316628706900e+44       7.722095689357e+43      -5.597062428214e+52       2.000595270357e-06       5.734262462252e+00 
       8.341300469814e+13       1.086492176667e-25       5.557012627833e-09       1.500960542993e+22       1.415848720639e+04       1.697395658822e-10       1.181001959865e+18       3.208513437701e-09       1.332030393213e+44       1.487146758867e+33       7.562299475940e+33       2.273421439658e+14       0.000000000000e+00       1.236037311464e+35       6.375247417724e+34      -6.899648523087e+18       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       9.208521583176e+43       2.252882551621e+44       2.252882551621e+44       7.509608505100e+43      -5.405212820359e+52       2.080619081171e-06       5.513713906012e+00 
       8.283317249071e+13       1.101756305257e-25       5.597030394711e-09       1.480165695142e+22       1.415848720639e+04       1.709277428433e-10       1.172792412974e+18       3.230973031765e-09       1.295377210063e+44       1.456348850204e+33       7.405688834016e+33       2.257618112874e+14       0.000000000000e+00       1.197840418274e+35       6.178235044058e+34      -6.674089296860e+18       3.892717486109e-08      -4.653754712670e-12      -1.000000000000e+00       8.955132749226e+43       2.190890485075e+44       2.190890485075e+44       7.302968283286e+43      -5.219939210630e+52       2.160642891985e-06       5.309502279863e+00 
