# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_dmeff                5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_dmeff               13:t_fld                 14:t_ur                  15:t_tot              
       2.677272475021e-02      -1.238503592600e+00      -3.368851387991e+01      -4.455137885468e+01       0.000000000000e+00      -1.111038858643e+00      -4.156120567914e+01       2.812459563848e-01       2.812340548371e-01       1.049412437030e-03       5.031210857216e-02       5.292131406619e-02                      nan      -8.708928371892e-04       5.049369033699e-02 
       2.690667372668e-02      -1.242003612600e+00      -3.380539991549e+01      -4.482053266604e+01       0.000000000000e+00      -1.099140841952e+00      -4.179818038943e+01       2.800775345010e-01       2.800660531913e-01       9.122142736975e-04       5.058931851370e-02       5.323246858808e-02                      nan      -8.274572531493e-04       5.078514664730e-02 
       2.704084388387e-02      -1.244337712311e+00      -3.392133919219e+01      -4.508970369653e+01       0.000000000000e+00      -1.087719151987e+00      -4.203500365911e+01       2.789127710865e-01       2.789019417693e-01       7.665435118302e-04       5.086621724635e-02       5.354346182833e-02                      nan      -7.715567640838e-04       5.107642742078e-02 
       2.717524033223e-02      -1.245460336811e+00      -3.403633347580e+01      -4.535888892828e+01       0.000000000000e+00      -1.076875902171e+00      -4.227167375014e+01       2.777515958503e-01       2.777416347890e-01       6.145240996162e-04       5.114280417069e-02       5.385428964177e-02                      nan      -7.040484594980e-04       5.136756388482e-02 
       2.730986831833e-02      -1.245326309334e+00      -3.415040292663e+01      -4.562809579456e+01       0.000000000000e+00      -1.066709649486e+00      -4.250820030458e+01       2.765940212467e-01       2.765851303543e-01       4.582770120478e-04       5.141909704238e-02       5.416496460936e-02                      nan      -6.258470956968e-04       5.165860264098e-02 
       2.744473322907e-02      -1.243927782106e+00      -3.426356253869e+01      -4.589733191949e+01       0.000000000000e+00      -1.057302489033e+00      -4.274459273962e+01       2.754400495020e-01       2.754324111563e-01       3.001169853273e-04       5.169510792779e-02       5.447549686623e-02                      nan      -5.381955485440e-04       5.194958667768e-02 
       2.757984059617e-02      -1.241266233468e+00      -3.437584597690e+01      -4.616660832742e+01       0.000000000000e+00      -1.048727545582e+00      -4.298086626449e+01       2.742897138128e-01       2.742834910390e-01       1.423414101649e-04       5.197086235711e-02       5.478590452802e-02                      nan      -4.424251262889e-04       5.224056574906e-02 
       2.771519610072e-02      -1.237359202639e+00      -3.448723385514e+01      -4.643591742964e+01       0.000000000000e+00      -1.041045118254e+00      -4.321701264264e+01       2.731428978545e-01       2.731382333526e-01      -1.272583885726e-05       5.224634755421e-02       5.509617523119e-02                      nan      -3.400133703094e-04       5.253155737139e-02 
       2.785080557800e-02      -1.232244178863e+00      -3.459776986135e+01      -4.670527844327e+01       0.000000000000e+00      -1.034302398445e+00      -4.345305564056e+01       2.719996852832e-01       2.719967002039e-01      -1.627595296239e-04       5.252159693905e-02       5.540633769608e-02                      nan      -2.325649718497e-04       5.282261742234e-02 
       2.798667502244e-02      -1.225977662881e+00      -3.470746773621e+01      -4.697469659859e+01       0.000000000000e+00      -1.028529921362e+00      -4.368900302479e+01       2.708600627233e-01       2.708588559427e-01      -3.054877183876e-04       5.279662599050e-02       5.571640036358e-02                      nan      -1.217921913961e-04       5.311377975700e-02 
