# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_dmeff                6:d_fld                  7:d_ur                   8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_dmeff               14:t_fld                 15:t_ur                  16:t_tot              
       4.180614026477e-03      -1.216666228170e+00      -1.978654125091e+00      -1.990824618801e+00      -1.990822457756e+00       0.000000000000e+00      -1.126455898365e+00      -1.965376433041e+00       5.654828764217e-01       5.624730110643e-01      -2.622573649155e-03      -3.677016114121e-06      -1.665345131745e-10                      nan      -2.610078252303e-03      -1.007553019818e-04 
       4.298224614140e-03      -1.223842220902e+00      -2.086126725585e+00      -2.099709862250e+00      -2.099707688089e+00       0.000000000000e+00      -1.129224557930e+00      -2.071036421018e+00       5.633511338788e-01       5.607444992551e-01      -2.839554534882e-03      -4.096511941225e-06      -1.659072063193e-10                      nan      -2.816518267326e-03      -1.089608648574e-04 
       4.416180911106e-03      -1.227156534387e+00      -2.196351335757e+00      -2.211469504913e+00      -2.211467317883e+00       0.000000000000e+00      -1.128496262311e+00      -2.179360381727e+00       5.612035079091e-01       5.589863069637e-01      -3.063289188024e-03      -4.551156496615e-06      -1.653118062748e-10                      nan      -3.028121159346e-03      -1.174055722239e-04 
       4.534459032436e-03      -1.226613267824e+00      -2.309287306450e+00      -2.326070589889e+00      -2.326068390229e+00       0.000000000000e+00      -1.124346856952e+00      -2.290316054586e+00       5.590427917582e-01       5.572001202050e-01      -3.292997202361e-03      -5.043128146076e-06      -1.647460931947e-10                      nan      -3.244069804178e-03      -1.260593267603e-04 
       4.653037170281e-03      -1.222249310397e+00      -2.424894635731e+00      -2.443479959997e+00      -2.443477747937e+00       0.000000000000e+00      -1.116884952724e+00      -2.403872069766e+00       5.568717720212e-01       5.553877205481e-01      -3.527837234881e-03      -5.574196174040e-06      -1.642080416565e-10                      nan      -3.463510033299e-03      -1.348900081125e-04 
       4.771895388998e-03      -1.214134720533e+00      -2.543131950893e+00      -2.563663715482e+00      -2.563661491244e+00       0.000000000000e+00      -1.106250806535e+00      -2.519997179371e+00       5.546930263696e-01       5.535507858532e-01      -3.766915323122e-03      -6.146370634727e-06      -1.636957692546e-10                      nan      -3.685560667167e-03      -1.438639207585e-04 
       4.891015442065e-03      -1.202371646207e+00      -2.663958626297e+00      -2.686588233650e+00      -2.686585997450e+00       0.000000000000e+00      -1.092613940691e+00      -2.638661376062e+00       5.525091565528e-01       5.516911272662e-01      -4.009294600181e-03      -6.761414761192e-06      -1.632075943425e-10                      nan      -3.909326088267e-03      -1.529461334632e-04 
       5.010380608463e-03      -1.187093637520e+00      -2.787332468615e+00      -2.812219255504e+00      -2.812217007549e+00       0.000000000000e+00      -1.076171517924e+00      -2.759834751512e+00       5.503225248982e-01       5.498104275425e-01      -4.254004871402e-03      -7.421449270201e-06      -1.627419223193e-10                      nan      -4.133906898563e-03      -1.621009582047e-04 
       5.129975546421e-03      -1.168463415083e+00      -2.913210971705e+00      -2.940522168571e+00      -2.940519909062e+00       0.000000000000e+00      -1.057145675752e+00      -2.883487856339e+00       5.481353338285e-01       5.479103224652e-01      -4.500052103065e-03      -8.128518998131e-06      -1.622973134579e-10                      nan      -4.358412488743e-03      -1.712922930191e-04 
       5.249786162607e-03      -1.146672877124e+00      -3.041552382046e+00      -3.071463271168e+00      -3.071461000300e+00       0.000000000000e+00      -1.035780396141e+00      -3.009592859033e+00       5.459498423413e-01       5.459926183763e-01      -4.746433301743e-03      -8.884744254579e-06      -1.618724562986e-10                      nan      -4.581974360188e-03      -1.804841910102e-04 
       5.369799495068e-03      -1.121939123170e+00      -3.172314073659e+00      -3.205007842613e+00      -3.205005560575e+00       0.000000000000e+00      -1.012339314750e+00      -3.138121626646e+00       5.437679871890e-01       5.440589128265e-01      -4.992143091922e-03      -9.692128527367e-06      -1.614661142946e-10                      nan      -4.803756503188e-03      -1.896411411487e-04 
       5.490003608392e-03      -1.094503536617e+00      -3.305454574396e+00      -3.341122241379e+00      -3.341119948353e+00       0.000000000000e+00      -9.871018350202e-01      -3.269047688910e+00       5.415917487218e-01       5.421109605438e-01      -5.236188905883e-03      -1.055261695203e-05      -1.610771671509e-10                      nan      -5.022968829379e-03      -1.987286313554e-04 
       5.610387499743e-03      -1.064629196260e+00      -3.440930443167e+00      -3.479772143317e+00      -3.479769839481e+00       0.000000000000e+00      -9.603605299733e-01      -3.402344235213e+00       5.394228037659e-01       5.401503244552e-01      -5.477601285528e-03      -1.146863933443e-05      -1.607045700794e-10                      nan      -5.238876992020e-03      -2.077136210587e-04 
       5.730941014549e-03      -1.032597722618e+00      -3.578699461358e+00      -3.620923324724e+00      -3.620921010249e+00       0.000000000000e+00      -9.324173956464e-01      -3.537985160858e+00       5.372627138296e-01       5.381785610378e-01      -5.715444648849e-03      -1.244214257815e-05      -1.603473679065e-10                      nan      -5.450814230057e-03      -2.165648171748e-04 
       5.851654770797e-03      -9.987073550581e-01      -3.718719517989e+00      -3.764542274889e+00      -3.764539949941e+00       0.000000000000e+00      -9.035803237144e-01      -3.675945311484e+00       5.351129679160e-01       5.361972614041e-01      -5.948831310748e-03      -1.347528397725e-05      -1.600046581093e-10                      nan      -5.658191283092e-03      -2.252532560519e-04 
       5.972520090970e-03      -9.632699426570e-01      -3.860948120214e+00      -3.910596018740e+00      -3.910593683480e+00       0.000000000000e+00      -8.741597478798e-01      -3.816200169750e+00       5.329749336284e-01       5.342079990697e-01      -6.176932767066e-03      -1.457056235468e-05      -1.596756406591e-10                      nan      -5.860505168837e-03      -2.337527168339e-04 
       6.093528940795e-03      -9.266069344241e-01      -4.005343854721e+00      -4.059050696019e+00      -4.059048350605e+00       0.000000000000e+00      -8.444653414903e-01      -3.958724827791e+00       5.308497169741e-01       5.322121830346e-01      -6.398985349005e-03      -1.572965475248e-05      -1.593595324978e-10                      nan      -6.057347008923e-03      -2.420397879794e-04 
       6.214673874059e-03      -8.890478860214e-01      -4.151863909485e+00      -4.209873668198e+00      -4.209871312781e+00       0.000000000000e+00      -8.148023164658e-01      -4.103495231969e+00       5.287383671361e-01       5.302112621281e-01      -6.614308263083e-03      -1.695527214036e-05      -1.590556262767e-10                      nan      -6.248409009035e-03      -2.500946779493e-04 
