# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 203.102 h/Mpc,
# number of wavenumbers equal to 845
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_dmeff                5:d_fld                  6:d_ur                   7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_dmeff               13:t_fld                 14:t_ur                  15:t_tot              
       5.886566801031e-04      -1.603238886735e+00      -1.203019155717e+00      -1.203023985615e+00       0.000000000000e+00      -1.603147779480e+00      -1.214620689990e+00       6.112096329231e-01       5.960294002920e-01       5.012809092216e-05       5.189235460286e-05       5.189389119044e-05                      nan       5.001785367765e-05       5.182434427017e-05 
       6.276185643138e-04      -1.610309393787e+00      -1.208493866036e+00      -1.208500052284e+00       0.000000000000e+00      -1.610192036886e+00      -1.220142437459e+00       6.110540352545e-01       5.959250325480e-01       5.670482848429e-05       5.898142049958e-05       5.898338208903e-05                      nan       5.656313491343e-05       5.889365214574e-05 
       6.692615934693e-04      -1.618331607254e+00      -1.214732289282e+00      -1.214740481100e+00       0.000000000000e+00      -1.618179934348e+00      -1.226433777314e+00       6.108765022067e-01       5.958056895684e-01       6.411957808635e-05       6.705808232825e-05       6.706070277136e-05                      nan       6.393710656842e-05       6.694487329456e-05 
       7.137617003222e-04      -1.627421374262e+00      -1.221837411151e+00      -1.221847786323e+00       0.000000000000e+00      -1.627226143504e+00      -1.233597671518e+00       6.106751959196e-01       5.956705721772e-01       7.246493378523e-05       7.625953182422e-05       7.626282358437e-05                      nan       7.223064508153e-05       7.611328784248e-05 
       7.612858261435e-04      -1.637712914565e+00      -1.229927754157e+00      -1.229941158032e+00       0.000000000000e+00      -1.637461169755e+00      -1.241753595196e+00       6.104460192602e-01       5.955165025175e-01       8.183621145336e-05       8.673629245013e-05       8.674053598529e-05                      nan       8.153520026221e-05       8.654746128666e-05 
       8.119864671933e-04      -1.649343355960e+00      -1.239130228852e+00      -1.239147752703e+00       0.000000000000e+00      -1.649018559434e+00      -1.251028912134e+00       6.101854486459e-01       5.953410555116e-01       9.232683634709e-05       9.865263434508e-05       9.865821532270e-05                      nan       9.194020158271e-05       9.840897448326e-05 
       8.659959882004e-04      -1.662450685103e+00      -1.249579549628e+00      -1.249602127883e+00       0.000000000000e+00      -1.662032505919e+00      -1.261558259350e+00       6.098904528832e-01       5.951423833538e-01       1.040240808169e-04       1.121854900722e-04       1.121926598072e-04                      nan       1.035286075775e-04       1.118711531171e-04 
       9.234211115549e-04      -1.677176521442e+00      -1.261420170813e+00      -1.261448949062e+00       0.000000000000e+00      -1.676639367936e+00      -1.273486118046e+00       6.095571311560e-01       5.949177739720e-01       1.170039929015e-04       1.275219325561e-04       1.275310185438e-04                      nan       1.163707202390e-04       1.271167923761e-04 
       9.843380583383e-04      -1.693663480190e+00      -1.274804322565e+00      -1.274841658799e+00       0.000000000000e+00      -1.692973653299e+00      -1.286965327491e+00       6.091805351779e-01       5.946634137764e-01       1.313253151219e-04       1.448562678482e-04       1.448680761917e-04                      nan       1.305172233097e-04       1.443352686924e-04 
       1.048788822492e-03      -1.712036238487e+00      -1.289884089876e+00      -1.289932223962e+00       0.000000000000e+00      -1.711153001406e+00      -1.302146999155e+00       6.087574564279e-01       5.943773132556e-01       1.470213963502e-04       1.643884728262e-04       1.644036925102e-04                      nan       1.459940551660e-04       1.637199718109e-04 
       1.116778986862e-03      -1.732407476199e+00      -1.306813971718e+00      -1.306875364391e+00       0.000000000000e+00      -1.731281157959e+00      -1.319184493450e+00       6.082841171598e-01       5.940568409753e-01       1.640936393481e-04       1.863194514141e-04       1.863388019515e-04                      nan       1.627936869370e-04       1.854640552876e-04 
       1.188277341593e-03      -1.754876646460e+00      -1.325748169319e+00      -1.325827342313e+00       0.000000000000e+00      -1.753444104955e+00      -1.338231937774e+00       6.077556546471e-01       5.936981047764e-01       1.825053034565e-04       2.108463548422e-04       2.108713629949e-04                      nan       1.808672598033e-04       2.097561781934e-04 
       1.263217364035e-03      -1.779507125269e+00      -1.346833074515e+00      -1.346934395347e+00       0.000000000000e+00      -1.777694034677e+00      -1.359433060476e+00       6.071694297590e-01       5.932994219287e-01       2.021733300763e-04       2.381616818367e-04       2.381936922712e-04                      nan       2.001215275627e-04       2.367779875832e-04 
       1.341500403710e-03      -1.806342714171e+00      -1.370214298624e+00      -1.370343566498e+00       0.000000000000e+00      -1.804057885626e+00      -1.382931484327e+00       6.065256690610e-01       5.928613248403e-01       2.229652201706e-04       2.684487487831e-04       2.684894554565e-04                      nan       2.204092313392e-04       2.667007629799e-04 
       1.423000229794e-03      -1.835377381863e+00      -1.396017841078e+00      -1.396180160603e+00       0.000000000000e+00      -1.832517207612e+00      -1.408848671664e+00       6.058189733343e-01       5.923796120338e-01       2.446939754159e-04       3.018778901953e-04       3.019285283036e-04                      nan       2.415346846527e-04       2.996806586695e-04 
       1.507568477172e-03      -1.866594804847e+00      -1.424364390503e+00      -1.424572022900e+00       0.000000000000e+00      -1.863029205770e+00      -1.437306834020e+00       6.050443193100e-01       5.918494771241e-01       2.671208741334e-04       3.386004086762e-04       3.386655323617e-04                      nan       2.632410731350e-04       3.358564348405e-04 
       1.595040487038e-03      -1.899904918425e+00      -1.455359621847e+00      -1.455620122780e+00       0.000000000000e+00      -1.895494627210e+00      -1.468402046502e+00       6.042024622093e-01       5.912720480260e-01       2.899470197661e-04       3.787602916984e-04       3.788418359259e-04                      nan       2.852258481967e-04       3.753529670688e-04 
       1.685241074673e-03      -1.935202587449e+00      -1.489097869605e+00      -1.489422172400e+00       0.000000000000e+00      -1.929786212782e+00      -1.502225341529e+00       6.032912871080e-01       5.906451119152e-01       3.128256871238e-04       4.224795010238e-04       4.225807430467e-04                      nan       3.071320079186e-04       4.182751978351e-04 
       1.777989849548e-03      -1.972344717495e+00      -1.525660151802e+00      -1.526062826497e+00       0.000000000000e+00      -1.965738281097e+00      -1.538853925599e+00       6.023092768165e-01       5.899668765417e-01       3.353620592561e-04       4.698633239671e-04       4.699889221325e-04                      nan       3.285577270011e-04       4.647102751043e-04 
       1.873105833077e-03      -2.011146779104e+00      -1.565115350437e+00      -1.565612406760e+00       0.000000000000e+00      -2.003147494211e+00      -1.578350282073e+00       6.012561232254e-01       5.892366161365e-01       3.571185853371e-04       5.210024542402e-04       5.211573770222e-04                      nan       3.490649565400e-04       5.147289173961e-04 
       1.970411240942e-03      -2.051391900658e+00      -1.607519786760e+00      -1.608129163556e+00       0.000000000000e+00      -2.041778367977e+00      -1.620764159742e+00       6.001321353232e-01       5.884539952541e-01       3.776246111496e-04       5.759722398374e-04       5.761619909830e-04                      nan       3.681872964238e-04       5.683860731872e-04 
       2.069734400901e-03      -2.092832386175e+00      -1.652919751965e+00      -1.653660511622e+00       0.000000000000e+00      -2.081367168334e+00      -1.666134051525e+00       5.989380463333e-01       5.876189445309e-01       3.963832306195e-04       6.348343299435e-04       6.350645241531e-04                      nan       3.854389695826e-04       6.257222782497e-04 
       2.170911853969e-03      -2.135201345541e+00      -1.701350735521e+00      -1.702246316179e+00       0.000000000000e+00      -2.121628214561e+00      -1.714490011782e+00       5.976740213427e-01       5.867306394639e-01       4.128806641861e-04       6.976349580182e-04       6.979127575453e-04                      nan       4.003220601683e-04       6.867638254765e-04 
       2.273789735124e-03      -2.178211545262e+00      -1.752835900087e+00      -1.753915968073e+00       0.000000000000e+00      -2.162255817956e+00      -1.765851042861e+00       5.963411785433e-01       5.857890041191e-01       4.265987276292e-04       7.644080953961e-04       7.647430752720e-04                      nan       4.123416564420e-04       7.515258576137e-04 
       2.378224553043e-03      -2.221540365315e+00      -1.807397955345e+00      -1.808688059485e+00       0.000000000000e+00      -2.202926569243e+00      -1.820226496029e+00       5.949420782136e-01       5.847954265656e-01       4.370190571877e-04       8.351834924135e-04       8.355827937987e-04                      nan       4.210184612789e-04       8.200158029868e-04 
       2.484083492891e-03      -2.264877971536e+00      -1.865042969834e+00      -1.866579735149e+00       0.000000000000e+00      -2.243312559361e+00      -1.877622058332e+00       5.934772267124e-01       5.837489672661e-01       4.436383046708e-04       9.099715600730e-04       9.104468669606e-04                      nan       4.258882437047e-04       8.922286732417e-04 
       2.591244358339e-03      -2.307883871919e+00      -1.925777496384e+00      -1.927596190003e+00       0.000000000000e+00      -2.283076718674e+00      -1.938033163642e+00       5.919497738576e-01       5.826513250992e-01       4.459771967317e-04       9.887832747745e-04       9.893450366185e-04                      nan       4.265284052197e-04       9.681565766464e-04 
       2.699595254278e-03      -2.350222470410e+00      -1.989600278946e+00      -1.991740511703e+00       0.000000000000e+00      -2.321883844475e+00      -2.001452395807e+00       5.903616168430e-01       5.815028520092e-01       4.435872492978e-04       1.071617734063e-03       1.072277765220e-03                      nan       4.225539095739e-04       1.047783570659e-03 
       2.809034094327e-03      -2.391558858264e+00      -2.056502930990e+00      -2.059009894465e+00       0.000000000000e+00      -2.359403234985e+00      -2.067866483726e+00       5.887153383751e-01       5.803044818948e-01       4.360642843991e-04       1.158467691787e-03       1.159239703818e-03                      nan       4.136339741344e-04       1.131089890889e-03 
       2.919467999818e-03      -2.431555846655e+00      -2.126476724710e+00      -2.129397628109e+00       0.000000000000e+00      -2.395311990814e+00      -2.137258986989e+00       5.870134712612e-01       5.790571098085e-01       4.230523848721e-04       1.249321604287e-03       1.250219497221e-03                      nan       3.994972092459e-04       1.218052287782e-03 
       3.030812641171e-03      -2.469899200065e+00      -2.199498364141e+00      -2.202894168944e+00       0.000000000000e+00      -2.429302109164e+00      -2.209609411029e+00       5.852583390919e-01       5.777612907854e-01       4.042550848977e-04       1.344156717510e-03       1.345199924945e-03                      nan       3.799384602187e-04       1.308643407589e-03 
